user,created_at,latitude,longitude,text
TatianaRidley,Mon Mar 13 18:28:00 +0000 2017,40.8101,-73.96064,"'#JustFoodConference 2017 🌱🍄🥒🍅🥕#HealthyliciousBliss @ Teachers College, Columbia University https://t.co/xRVw1V25Yb'"
Xsanthemum,Mon Mar 13 17:57:58 +0000 2017,40.762,-73.9751,'(#bruce #white: #alba #duchessOfAlba #fitzjames #cayetana #NYU #titiZ #z #omega #apocalypse… https://t.co/WUHnbWLP9g'
CCSI_Columbia,Mon Mar 13 17:40:05 +0000 2017,,,'Laza Kekic: Inward #FDI to the #UK will remain robust post-#Brexit https://t.co/FTjr7njfML'
pfrusso,Mon Mar 13 17:05:24 +0000 2017,,,"'.@MetaPropNYC excited to be at Columbia University's CURE, fostering early #RETech https://t.co/qVIZt790ld … via… https://t.co/9eeJwT1Izc'"
GiovanniMunari,Mon Mar 13 17:00:21 +0000 2017,40.72946,-73.99357,'Just posted a photo @ NYU Tisch School of the Arts https://t.co/WgF5BwwKDb'
MrCollymore,Mon Mar 13 16:24:25 +0000 2017,,,'CC: @Columbia https://t.co/6oP1YGCZ9h'
leoniehaimson,Mon Mar 13 15:43:08 +0000 2017,,,'@AGZimmerman what's legal argument to contrary? Only 3 schls are cited in state law -see Columbia J of Law &amp;Soc Pro… https://t.co/DgCnn1RLb8'
WvonGeldern,Mon Mar 13 15:36:41 +0000 2017,,,'.@Columbia Announces Divestment from Thermal Coal Producers https://t.co/9UHs6cPSmo'
ColumbiaLaw,Mon Mar 13 15:28:39 +0000 2017,,,'NEWS: @Columbia President Lee Bollinger '71 announces divestment from thermal coal producers https://t.co/xxDpcI18BX https://t.co/YysWvshzb3'
rowerand,Mon Mar 13 14:54:22 +0000 2017,40.68612986,-74.00175527,'I love visiting the home of an Aussie. 🐨 @ Columbia Waterfront District https://t.co/GhycvylnNN'
CabbellC,Mon Mar 13 14:49:09 +0000 2017,,,'Great picture of my Alma mater @nyuniversity Nothing like the Greenwich Village area in NYC. #nyu https://t.co/PzVbEeW2Go'
WEAI_Columbia,Mon Mar 13 14:16:58 +0000 2017,,,"'THURS, 3/23: “The #Politics of #Religion in Postwar #Japanese Public #School #Education"" w/ @Penn's @jolyonbt. 4 PM… https://t.co/NKa4lazD9a'"
WEAI_Columbia,Mon Mar 13 14:07:59 +0000 2017,,,"'WEDS, 3/22: “#Trump’s #Asia Policy: The View from D.C.” w/ @AEI's Michael Auslin. Moderated by Andrew Nathan. 12 PM… https://t.co/ydjkoPPfHf'"
hyejunie,Mon Mar 13 13:47:47 +0000 2017,,,"'#NYU has spring break this week, and I wish I still got a spring break. 🌣'"
NYUTandonTweets,Mon Mar 13 13:39:43 +0000 2017,,,'Are you an @nyualumni attending @sxsw? Join us for our second annual reception today at 5pm! RSVP: https://t.co/5GbtIcATJM.'
doctorira,Mon Mar 13 13:35:10 +0000 2017,,,'#askdoctorira on @nyudocs @siriusXM.  Anything you forgot to ask your doctor ask (or tweet me) 1-877-NYU-DOCS'
WEAI_Columbia,Mon Mar 13 12:46:54 +0000 2017,,,'Learn about @Columbia-related #EastAsia presentations at next week's @AASAsianStudies Annual Conference in #Toronto… https://t.co/WQr6RIm2Is'
Jay_Hoffa_Flee,Mon Mar 13 11:40:51 +0000 2017,,,'NYU'
Rochdalian,Mon Mar 13 05:39:10 +0000 2017,,,"'https://t.co/0EpDreO4YG

#116th_Street_Station #1_Line #newyorkcity #newyorkcitysubways #nytransitmuseum #picsher #photography #manhattan'"
geminicollision,Mon Mar 13 02:33:50 +0000 2017,,,"'@larryagross @afterglow2046  I miss Paul. Introduced me to Kubelka films at NYU, used to see him at Kuchar screenings.'"
valesoto18,Mon Mar 13 02:14:13 +0000 2017,40.80668,-73.96139,'Las mejores cosas que me dejó Tahoe ❤ #argentinas @ Columbia College https://t.co/6O2teUgEf1'
MithruV,Mon Mar 13 01:08:18 +0000 2017,40.72961868,-73.99352448,'Pattern-ception 😀 @ ITP - NYU https://t.co/2Pq9J8Otdq'
